user,chat,kategori,cleaned_user
Okuyacak güzel bir kitap önerebilir misin?,Elbette! Simyacı hem akıcı hem de düşündürücü bir kitap. Keyifle okuyacağını umarım.,kitap_oneri,okuyacak güzel bir kitap önerebilir mis
Bu yaz tatilinde okuyacak hafif bir kitap önerir misin?,"Beyoğlu Rapsodisi, keyifli ve nostaljik bir roman.",kitap_oneri,yaz tatil okuyacak hafif bir kitap önerir mis
"Psikolojik derinliği olan kitap arıyorum, ne tavsiye edersin?","Suç ve Ceza, insan ruhunun karanlık yönlerini keşfetmeni sağlar.",kitap_oneri,psikolojik derinlik olan kitap arıyor tavsi eder
Gizem ve macera dolu bir kitap önerisi isterim.,"Da Vinci Şifresi, sürükleyici ve zekice kurgulanmış bir roman.",kitap_oneri,gize macera dol bir kitap öneri ister
Özellikle gençler için kitap tavsiyesi verir misin?,"Sineklerin Tanrısı, gençlik ve toplum üzerine düşündüren bir eser.",kitap_oneri,özellik genç kitap tavsiye verir mis
Klasik bir Türk romanı önerir misin?,"Saatleri Ayarlama Enstitüsü, mizahi ve eleştirel bir yapıt.",kitap_oneri,klasik bir türk roman önerir mis
Şiir kitabı önerisi alabilir miyim?,"Sevda Sözleri, duyguları yoğun şekilde yansıtan şiirlerden oluşuyor.",kitap_oneri,şiir kitap öneri alabilir miy
"Okuyacak yeni bir kitap arıyorum, önerin nedir?","Simyacı, hayatın anlamını sorgulatan ve akıcı bir roman.",kitap_oneri,okuyacak yen bir kitap arıyor öner ne
"Tarih kitapları severim, tavsiyen var mı?","Sapiens, insanlık tarihini kapsamlı ve ilgi çekici anlatıyor.",kitap_oneri,tarih kitap sever tavsiyen var
Kişisel gelişim kitabı önerir misin?,"Alışkanlıkların Gücü, davranışlarımızı değiştirmek için harika bir rehber.",kitap_oneri,kişisel geliş kitap önerir mis
"Bilim kurgu romanları arıyorum, ne önerirsin?","Dune, evrenin derinliklerinde geçen epik bir macera.",kitap_oneri,bil kurg roman arıyor önerir
Klasik edebiyattan bir eser tavsiye eder misin?,"Suç ve Ceza, insan psikolojisini derinlemesine ele alan bir başyapıt.",kitap_oneri,klasik edebiyat bir eser tavsi eder mis
Hafif ve eğlenceli kitap önerir misin?,"Bay Perşembe, mizah dolu ve düşündürücü bir roman.",kitap_oneri,hafif eğlence kitap önerir mis
Yeni çıkan kitaplardan öneri alabilir miyim?,"Kürk Mantolu Madonna, yeniden popülerlik kazanan klasik bir eser.",kitap_oneri,yen çıkan kitap öner alabilir miy
"Felsefi kitaplar arıyorum, ne önerirsin?","Sofinin Dünyası, felsefeyi hikaye yoluyla anlatan harika bir kitap.",kitap_oneri,felsef kitap arıyor önerir
Çocuklar için kitap önerir misin?,"Küçük Prens, hem çocuklar hem yetişkinler için anlamlı bir eser.",kitap_oneri,çocuk kitap önerir mis
Gerilim romanı önerisi var mı?,"Kayıp Kız, sürükleyici ve şaşırtıcı bir polisiye.",kitap_oneri,geril roman öneri var
Romantik kitap önerir misin?,"Aşk ve Gurur, klasik ve büyüleyici bir aşk hikayesi.",kitap_oneri,romantik kitap önerir mis
Biyografi türünde kitap tavsiyesi alabilir miyim?,"Steve Jobs, başarılı bir girişimcinin hayatı ve vizyonu.",kitap_oneri,biyografi tür kitap tavsiye alabilir miy
Fantastik edebiyat kitap önerir misin?,"Yüzüklerin Efendisi, epik bir macera ve büyülü dünya.",kitap_oneri,fantastik edebiyat kitap önerir mis
Kısa ama etkileyici kitap arıyorum.,"Hayvan Çiftliği, kısa ama anlamlı bir alegori.",kitap_oneri,kıs etkileyiç kitap arıyor
Psikoloji kitapları önerir misin?,"İnsanın Anlam Arayışı, Viktor Frankl'ın ilham verici kitabı.",kitap_oneri,psikoloji kitap önerir mis
Yerli yazarların kitaplarını önerir misin?,"Tutunamayanlar, modern Türk edebiyatının önemli eserlerinden.",kitap_oneri,yerl yazar kitap önerir mis
Kültür ve sanat kitapları arıyorum.,"Görsel Tarih, sanatın tarihini zengin görsellerle anlatıyor.",kitap_oneri,kül sanat kitap arıyor
Macera romanı önerisi var mı?,"Robinson Crusoe, unutulmaz bir hayatta kalma hikayesi.",kitap_oneri,macera roman öneri var
Bilimsel kitap tavsiyesi alabilir miyim?,"Kozmos, evrenin sırlarını anlatan etkileyici bir eser.",kitap_oneri,bilimsel kitap tavsiye alabilir miy
Deneme kitapları önerir misin?,"Denemeler, Montaigne'in hayat üzerine düşünceleri.",kitap_oneri,dene kitap önerir mis
Klasik Türk edebiyatından kitap önerir misin?,"İnce Memed, unutulmaz bir destan.",kitap_oneri,klasik türk edebiyat kitap önerir mis
Edebiyat tarihinden bir kitap arıyorum.,"Edebiyatımızın Kısa Tarihi, Türk edebiyatının gelişimini anlatıyor.",kitap_oneri,edebiyat tarih bir kitap arıyor
Sürükleyici polisiye roman önerisi var mı?,"Sherlock Holmes serisi, zekice kurgulanmış maceralar.",kitap_oneri,sürükleyiç polisi roman öneri var
"Hikaye kitapları arıyorum, ne önerirsin?","Dublinliler, Joyce'un kısa hikayeleriyle dolu.",kitap_oneri,hikaye kitap arıyor önerir
Yaratıcı yazarlık kitapları tavsiye eder misin?,"Yaratıcı Yazarlık Atölyesi, yazma becerilerini geliştirmek için ideal.",kitap_oneri,yaratıç yazarlık kitap tavsi eder mis
Klasik dünya edebiyatından bir kitap önerisi alabilir miyim?,"Suç ve Ceza, Dostoyevski'nin başyapıtı.",kitap_oneri,klasik dünya edebiyat bir kitap öneri alabilir miy
Modern edebiyattan kitap önerir misin?,"Kürk Mantolu Madonna, modern klasiklerden.",kitap_oneri,modern edebiyat kitap önerir mis
Edebiyat ve psikoloji karışımı kitap önerisi var mı?,"Kafka'nın Dönüşümü, insan ruhunu derinlemesine işliyor.",kitap_oneri,edebiyat psikoloji karış kitap öneri var
Kısa roman önerisi arıyorum.,"Fareler ve İnsanlar, kısa ve etkileyici bir eser.",kitap_oneri,kıs roman öneri arıyor
Seyahat ve gezi kitapları önerir misin?,"Yolda, macera dolu bir seyahat günlüğü.",kitap_oneri,seyahat gez kitap önerir mis
Kişisel gelişim için kısa kitap önerisi var mı?,"Atomik Alışkanlıklar, kolay uygulanabilir tavsiyeler içeriyor.",kitap_oneri,kişisel geliş kıs kitap öneri var
Roman türünde yeni kitap önerisi verir misin?,"Kayıp Zamanın İzinde, sürükleyici ve uzun bir roman.",kitap_oneri,roman tür yen kitap öneri verir mis
"Fantastik kurgu arıyorum, önerin nedir?",Harry Potter serisi büyülü bir dünya sunuyor.,kitap_oneri,fantastik kurg arıyor öner ne
Dram ve aşk türünde kitap önerir misin?,"Aşk ve Gurur, klasik romantik romanlardan biri.",kitap_oneri,dram aşk tür kitap önerir mis
Bilim kurgu sevenlere kitap önerisi var mı?,"Vakıf Serisi, bilim kurgu klasikleri arasında.",kitap_oneri,bil kurg seven kitap öneri var
Edebiyat eleştirisi kitapları önerir misin?,"Edebiyat Nedir?, eleştirel düşünceyi destekleyen bir eser.",kitap_oneri,edebiyat eleştiri kitap önerir mis
Roman ve psikoloji türünü karıştıran kitap var mı?,"Körlük, insan doğasının karanlık yanlarını anlatıyor.",kitap_oneri,roman psikoloji tür karıştıran kitap var
